Date,rsi_1w,macd_pct_1w,ema_cross_1w,atr_pct_1w,ret_1,ret_5,smc_bias_1w,zone_dist_atr,at_zone,high,low,close,label,label_bars
2008-03-17,0.6005234793287821,6.3691848423559,1.0,4.06105445029574,-0.0820149029240937,0.0184377349183799,1,2.096640307506908,0,1014.5999755859376,917.7000122070312,919.5999755859376,0,2
2008-03-24,0.6142994982666676,5.92060738425932,1.0,4.006562112225372,0.011890746835335,-0.0150379165208898,1,2.3950604700945477,0,951.7000122070312,915.2000122070312,930.5999755859376,0,1
2008-03-31,0.5725464258352853,5.503248567207429,1.0,4.345480483181128,-0.0234844189983149,-0.0671135605347794,1,1.7139062403366314,0,940.0999755859376,871.7999877929688,909.0,0,4
2008-04-07,0.5926979733093942,5.050327991076598,1.0,4.242757221897382,0.0159339568692722,-0.0512825061206942,1,2.100233960360591,0,939.2000122070312,904.0999755859376,923.5999755859376,0,2
2008-04-14,0.5700981476371625,4.66519946868331,1.0,4.31389852852294,-0.0124197733871831,-0.0900943916049845,1,1.801716208739456,0,948.7000122070312,907.2000122070312,912.2000122070312,0,2
2008-04-21,0.523000920763512,4.156125186845226,1.0,4.493011481311359,-0.0277888278643585,-0.0358683165452493,1,1.151473238777473,0,924.5999755859376,878.0999755859375,887.2000122070312,0,5
2008-04-28,0.4708854621434688,3.448158043605729,1.0,4.69242584798293,-0.0356832865645388,-0.0834423499451233,1,0.3684168238182249,1,893.7999877929688,849.5999755859375,856.0999755859375,0,5
2008-05-05,0.518108693204587,2.904187946776541,1.0,4.44830955041351,0.0326353503691692,-0.0273225805776391,1,1.0979714078218206,0,884.7000122070312,861.2000122070312,884.5,0,5
2008-05-12,0.5406502279496147,2.6194788509870666,1.0,4.392888114320356,0.0162605208717803,-0.026996016575131,1,1.4610533395057606,0,904.2000122070312,862.7999877929688,899.0,0,4
2008-05-19,0.5795089951887501,2.56344843489791,1.0,4.167156622343566,0.0291591150313745,0.0145828718434266,1,2.1855681521155947,0,925.5999755859376,905.0,925.5999755859376,0,1
2008-05-26,0.5123075858407432,2.315022982461153,1.0,4.4953842033622005,-0.0422590194192045,0.0001126802885806,1,1.153242240004279,0,925.5999755859376,868.5999755859375,887.2999877929688,0,5
2008-06-02,0.524856777964586,2.0613190842569096,1.0,4.420514581006054,0.0090874429891707,0.0448834098422903,1,1.1571136363829535,0,901.0,865.4000244140625,895.4000244140625,0,5
2008-06-09,0.4833513620006991,1.6789100478447807,1.0,4.639260455538115,-0.0284326073037268,-0.0161845478306057,1,0.5126876653253605,0,908.9000244140624,858.2000122070312,870.2999877929688,1,4
2008-06-16,0.5325211104529929,1.5427849649808558,1.0,4.4529432797628,0.0350001862493254,0.0025551175469393,1,1.2881727777118492,0,907.2999877929688,871.2999877929688,901.2999877929688,1,4
2008-06-23,0.572130241136093,1.6600455059543682,1.0,4.403828248436135,0.0305934494090074,0.0039894519245722,1,1.94747586215085,0,927.5999755859376,876.4000244140625,929.2999877929688,0,5
2008-06-30,0.5755879440815032,1.7860731987983107,1.0,4.25844055403085,0.0026865848546453,0.048935056198422,1,2.0715651323051003,0,945.7999877929688,922.2999877929688,931.7999877929688,0,5
2008-07-07,0.6129136930764283,2.044317766801653,1.0,4.214560553168783,0.0292941291655424,0.0691417423747937,1,1.3625552748675929,0,965.7000122070312,915.4000244140624,959.5,0,3
2008-07-14,0.6083375953624351,2.2506167087343,1.0,4.155312037634886,-0.002295506246968,0.0952788434315525,1,1.4404654098764975,0,986.2000122070312,955.0,957.2999877929688,0,2
2008-07-21,0.5469676486255064,2.197568583116628,1.0,4.402611977933852,-0.0325948625662446,0.0276837946159824,1,1.6766915435526,0,974.9000244140624,920.9000244140624,926.5999755859376,0,2
2008-07-28,0.5148982576483969,1.958215937784917,1.0,4.464323490946024,-0.019176852457063,-0.0220865072500879,1,1.2518262899881394,0,931.0999755859376,893.2999877929688,909.0,0,1
2008-08-04,0.4349963158599308,1.3412629890889392,1.0,4.927465006437429,-0.057974136325325,-0.0827472284300583,1,0.0094640475427975,1,915.2999877929688,851.0999755859375,857.7999877929688,0,1
2008-08-11,0.3524076842603298,0.0909361431793787,1.0,5.743196336862958,-0.0874141654229472,-0.1994555230185479,-1,0.1993729799187699,1,863.4000244140625,780.9000244140625,786.0,0,4
2008-08-18,0.4207038389798898,-0.5372240176873975,1.0,5.502950364978783,0.0513314911050688,-0.145828525666511,-1,0.3052829368964765,1,836.5999755859375,789.5999755859375,827.4000244140625,0,3
2008-08-25,0.4237076096112803,-0.9990728974936516,1.0,5.294554456120877,0.0022936732032015,-0.1109399898970648,-1,0.273300337208112,1,842.5999755859375,819.7999877929688,829.2999877929688,0,2
2008-09-01,0.3875961948217397,-1.7212218871458809,1.0,5.558646084425363,-0.0389747686992549,-0.1307379061392568,-1,0.464635672720089,1,840.7000122070312,790.7999877929688,797.5999755859375,0,1
